title,url,thumbnail_url,channel,description,views,upload_time
"Brawl Stars: Brawl Talk - Flying Brawler, Game Modes, and MORE!",https://www.youtube.com/watch?v=4oJ7gAdaU5A,,Brawl Stars,Download NOW!! ►► https://supr.cl/playbrawl Be a BRAWLER! Subscribe! ►► https://supr.cl/subscribe Follow our Brawl Stars Esports channel! ►► https://www.youtube.com/c/BrawlStarsEsports...,8100000,2022-02-27
This Streamer Thought he could Trap me...,https://www.youtube.com/watch?v=-6rcNWnJgUA,,rekrap2,"My friend thinks he can trap me, but I trapped him first. To those who read descriptions: I got invited to a tommyinnit vid. should come out in 9ish days. was pretty POG. Where I get my music:...",834000,2022-02-27
DaBaby & NBA YoungBoy - NEIGHBORHOOD SUPERSTAR [Official Audio],https://www.youtube.com/watch?v=6SESaYWEDoU,,DaBaby,DaBaby & YoungBoy Never Broke Again - NEIGHBORHOOD SUPERSTAR Listen: https://DaBaby.lnk.to/NEIGHBORHOODSUPERSTAR Connect: https://instagram.com/dababy https://twitter.com/dababydababy https://w...,861000,2022-02-26
A MESSAGE TO DWAYNE THE ROCK JOHNSON,https://www.youtube.com/watch?v=9a_G5F4iA7M,,Isaiah Photo,FOLLOW ME! Twitter - https://twitter.com/isaiahphoto Instagram - https://www.instagram.com/isaiahphoto TikTok - https://www.tiktok.com/@isaiahphoto Facebook - https://www.facebook.com/theisaiahphoto,4300000,2022-02-26
Life Hacks That Might Get You Fired!,https://www.youtube.com/watch?v=ORRPwtMjt58,,Imbrandonfarris,Watch the BLOOPERS and Deleted Scenes Here! https://youtu.be/K22ZQHXTY74,449000,2022-02-27
THE PET SWITCH | BAILEY SPINN #shorts,https://www.youtube.com/watch?v=P5mGGUmMeeo,,Bailey Spinn,#POV You and your soulmate switch pets. ✿✿✿SUBSCRIBE✿✿✿ ☆☆☆FOLLOW ME☆☆☆ Tiktok: @baileyspinn Spam Tiktok: @definitelynotbaileyspinn Instagram: @baileyspinn Snapchat:...,1000000,2022-02-27
Throwing school busses with my new excavator,https://www.youtube.com/watch?v=Jbd05RNLqs8,,WhistlinDiesel,"Just 30 minutes of wrecking sh*****. This is what $400,000 of excavator looks like. I bought the biggest currently in stock at caterpillar (not big enough but it’ll do for now until the bigger...",1500000,2022-02-26
RED ALERT I HAVE A PROBELM,https://www.youtube.com/watch?v=883NBk37_qE,,camman18,live on twitch tonight with @Twi Shorts come join! https://www.twitch.tv/camman18 follow my twitter: https://twitter.com/camman18_ also no hate to preston or tommy just jokes lol go sub...,3000000,2022-02-27
I WENT ON A 2ND DATE WITH THE SIDEMEN 20 vs 1 GIRL,https://www.youtube.com/watch?v=TQtLRF4Wfns,,Callux,A 2nd date with Chloe from the 20 vs 1 video notwoways - syzygy - 28th Feb 6pm UK Visit: http://www.notwoways.com Chloe's Instagram: https://www.instagram.com/chloediana99/ https://twitter.com/ca...,2700000,2022-02-27
"Minecraft Manhunt, But Colors Are OP...",https://www.youtube.com/watch?v=k5bz_8Ko9T8,,KIER and DEV,"Minecraft Manhunt, But Colors Are OP... Friends: @YelloWool @Boosfer Second Channel: https://www.youtube.com/channel/UCmTWO2mXHnRXHe6Jcb15I2w/featured Our Twitters: Dev: https://twitter.com/Re...",479000,2022-02-27
Meth disguised as onions in California drug bust,https://www.youtube.com/watch?v=CKoLpXYdk_E,,FOX 10 Phoenix,Officials with the U.S. Customs and Border Protection say their officers found meth that was disguised as onions during a drug bust at a California border crossing. MORE: https://bit.ly/3hjIncr...,299000,2022-02-27
Fortnite GUESS WHO vs SypherPK!,https://www.youtube.com/watch?v=DnhSFM3OL08,,More CouRage,🎥 SUBSCRIBE TO COURAGE REACTS HERE! https://www.youtube.com/CouRageReacts 👕 NEW MERCHANDISE! CHECK OUT MY CUSTOM RAZER MOUSE: https://www.razer.com/customs/browse/couragejd/all/mice/razer-or...,744000,2022-02-27
The FUNNIEST FAKE Minecraft Speedruns EVER,https://www.youtube.com/watch?v=2_BgMkDeYTc,,Ayundaru,The FUNNIEST FAKE Minecraft Speedruns EVER Follow My Socials: ✅ Twitter: https://twitter.com/ayundaru_ ✅ Instagram: https://www.instagram.com/ayundaru_yt/ ✅ Twitch: https://www.twitch.tv/ayu...,662000,2022-02-27
Send this to your friends🤣 Gaming.217 (Credits TT/captainxitcat),https://www.youtube.com/watch?v=7AdHMamMNhI,,Gaming.217,Gaming 217 Sound TikTok / captainxitcat https://tiktok.com/@captainxitcat Video: https://vm.tiktok.com/ZMLByWJ8L/ Gameplay YT/ Chris92 https://www.youtube.com/c/Chris92 1. TikTok Channel...,960000,2022-02-27
24 STUNTS IN 24 HOURS!!,https://www.youtube.com/watch?v=spa1tMSL4JM,,Andrew Davila,I may have lost the battle but the war is not over… Ben I’m coming for you!!! And let me know if you guys think the Elevator Boys are sexy! ;) Elevator Boys: https://www.instagram.com/elevator...,637000,2022-02-27
Surprising My Friends with My New Hair!!!,https://www.youtube.com/watch?v=8Pq0VbR1n8o,,Sofie Dossi,I dyed my hair Pink! Seriously! And I decided to get my friends reactions on my new look and hair style! I got some mixed opinions but I'm pretty happy with my decision overall ;) Buy my new...,797000,2022-02-27
Surviving Minecraft’s Deadliest Pit…,https://www.youtube.com/watch?v=7IAMQDfChy4,,Forge Labs,"100 Days on Horror Island in Minecraft.... the series! Sign up at https://www.Cred.ai/Forge to experience better banking, and improve your credit score! CHECK OUT KIM'S VIDEO: https://youtu.be/l...",478000,2022-02-27
NATO Response Force activated,https://www.youtube.com/watch?v=rM-hg-8Si2I,,ABC 10 News,NATO Response Force activated,606000,2022-02-26
The Beginner's Guide to Elden Ring,https://www.youtube.com/watch?v=NLdZ8Zex1cw,,VaatiVidya,"If you're not a beginner, then the most important section might be at 2:15, because I really want to stress the importance of Guard Counters and Super Armor in this game. ►Clothing Merch...",1000000,2022-02-26
ANNOYING MY FRIENDS FOR 24 HOURS!!,https://www.youtube.com/watch?v=7an5xkWQ4Ak,,Jeremy Hutchins,I Annoyed all my friends for a whole 24 hours.. This video was a lot of fun to do NEW VIDEOS EVERY WEEK!! Check out my friends :) Lexi Rivera @Alexa Rivera Brent Rivera @Brent Rivera Stokes...,950000,2022-02-27
World Record Packing Slimes Attempt,https://www.youtube.com/watch?v=JZzl1UlVwFs,,Peachybbies,Subscribe Here: https://www.youtube.com/c/Peachybbies/?sub_confirmation=1 Order slime at: https://www.peachybbies.com/ Follow me here: TikTok: https://vm.tiktok.com/TTPdjuwmc8/ Instagram:...,681000,2022-02-27
Ukraine war: Kyiv braces for battle as Russian tanks enter city,https://www.youtube.com/watch?v=bzSAjQZXDOE,,The Telegraph,Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH Ukrainian soldiers have started taking up positions around Kyiv after Russian troops were seen in northern suburbs and gunfire...,9100000,2022-02-26
Ukrainian soldiers on front line come under attack | Kharkiv dispatch,https://www.youtube.com/watch?v=qDIQf10kHzY,,The Telegraph,Footage filmed by The Telegraph shows the reality for Ukrainian soldiers on the front line as they come under attack in Kharkiv. “This is a spot where the Russians tried to break through...,3400000,2022-02-26
"Tyga, Doja Cat - Freaky Deaky (Official Video)",https://www.youtube.com/watch?v=5ZHXYnGVlcg,,Tyga,"Listen to the single “Freaky Deaky"". Out Now! Stream: https://music.empi.re/freakydeaky #Tyga #DojaCat #FreakyDeaky Official Video by Tyga & Doja Cat - Freaky Deaky © 2022 Kemosabe...",6700000,2022-02-25
My Friends Trapped Me In A Fridge..,https://www.youtube.com/watch?v=fB02IQUdoc8,,Unspeakable,NEW MERCH! - https://www.unspeakable.com/ PLAY NEW GAMES! - https://www.unspeakable.com/pages/play-games FOLLOW ME! - https://www.unspeakable.com/pages/links MORE VLOGS! - https://www.youtube.co...,1400000,2022-02-27
Theres SO Much Depth,https://www.youtube.com/watch?v=43SVfVzniAo,,Surfnboy Shorts,Theres SO Much Depth CREDIT- DANATHB #Shorts #YouTubeShorts #Short ► Submit Videos For Me To React to in our Discord- https://discord.gg/CCtqr3b﻿ Surfnboy's Socials ► ●Twitter-...,2500000,2022-02-26
Polo G - Don't Play (Official Video) ft. Lil Baby,https://www.youtube.com/watch?v=n7CqZHpEcmw,,Polo G,Official video for ”Don’t Play” by Polo G (feat. Lil Baby) Listen & Download ‘Hall Of Fame 2.0’ out now: https://polog.lnk.to/HOFDeluxe Amazon Music - https://polog.lnk.to/HOFDeluxe/a...,1700000,2022-02-25
How Many Balloons Stops an Arrow?,https://www.youtube.com/watch?v=lXcteY6ev1I,,How Ridiculous,Go to https://Kamikoto.com/howridiculous and use code HowRidiculous to get an extra $50 off any Kamikoto knife purchase! BUY NEW MERCH ➤ http://bit.ly/HRMerchStore SUBSCRIBE ➤ http://bit.ly/S...,1400000,2022-02-26
Colby Covington and Jorge Masvidal get HEATED in this excerpt | Stephen A’s World,https://www.youtube.com/watch?v=0VgMN0UfMIQ,,ESPN MMA,"In this excerpt of Stephen A. Smith’s interview, Colby Covington and Jorge Masvidal discuss how their friendship devolved into a heated rivalry. The full interview airs Tuesday, March 1,...",578000,2022-02-26
I Took GeorgeNotFound Bowling In Real Life…,https://www.youtube.com/watch?v=21CQ4r4xAWc,,QuackiTwo,STREAMED LIVE ON TWITCH: https://www.twitch.tv/quackity Follow me on: DISCORD - https://discord.gg/quackity TWITTER - https://twitter.com/QuackityHQ TWITCH - https://www.twitch.tv/quackity...,902000,2022-02-26
Perks of getting your period (ft my mom),https://www.youtube.com/watch?v=SSQrPsQq_q4,,illymation,"finally, my mom is in a video!!! she did great :D ▶ LIVE ON TWITCH WEEKLY: http://twitch.tv/illymation ▶ THE TEAM: AUDIO EDITOR: Cory Halterman http://instagram.com/morningjoeaudio...",829000,2022-02-26
Ukrainian soldier guarding Kyiv has only fired 16 rounds in his life,https://www.youtube.com/watch?v=SB1cxIc3qDA,,Sky News,Many citizens are fleeing Kyiv as Russian troops fight to surround the city. Sky News spoke to one inexperienced 21-year-old soldier who is guarding a bridge into the city. He told Sky News...,7100000,2022-02-26
The *MYTHIC* Boss Challenge! (Fortnite Chapter 3),https://www.youtube.com/watch?v=QWaaJspvl3o,,Lachlan,Today we attempt the Mythic Boss Challenge! Subscribe to Lachy Shorts! http://bit.ly/LachyShortsSubscribe ⚡️My APPAREL⚡️ | https://PWR.Supply ❱ Subscribe to PWR ⚡️🎮 | https://bit...,350000,2022-02-27
Aperture Desk Job Trailer,https://www.youtube.com/watch?v=mVDFJRM6F9k,,Valve,"Introducing Aperture Desk Job — a free playable short made for Valve's new Steam Deck, set in the universe of the modestly popular Portal games. http://aperturedeskjob.com Desk Job reimagines...",858000,2022-02-26
NBA YoungBoy - I Hate YoungBoy,https://www.youtube.com/watch?v=k-PaOWxvnz0,,YoungBoy Never Broke Again,I hate YoungBoy he always talking shit ha ha!!!!,13000000,2022-02-23
Lil Durk - AHHH HA (Official Music Video),https://www.youtube.com/watch?v=_q6go0G49A0,,Lil Durk,"Pre-order the upcoming album, 7220, from Lil Durk now: https://lildurk.lnk.to/7220 Listen to ""AHHH HA"", available now: https://lildurk.lnk.to/7220 Merch: https://otfgear.com/ Follow Lil...",12000000,2022-02-22
Kodak Black - I Wish [Official Music Video],https://www.youtube.com/watch?v=92w6nmA5NVE,,Kodak Black,Kodak Black - I Wish [Music Video] Stream/Download 'Back For Everything' Album OUT NOW - https://kodak.lnk.to/BackForEverything Grinding All Season Video - https://youtu.be/8thpVH-K4S0 Super...,4300000,2022-02-22
"Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige & Kendrick Lamar FULL Pepsi Super Bowl LVI Halftime Show",https://www.youtube.com/watch?v=gdsUKphmB3Y,,NFL,Check out our other channels: NFL Mundo https://www.youtube.com/mundonfl NFL Brasil https://www.youtube.com/c/NFLBrasilOficial NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...,65000000,2022-02-14
Dream - The Last Minecraft Manhunt (Extra Scenes),https://www.youtube.com/watch?v=bvfsNDa3Bg0,,DreamXD,"This is extra scenes from Dream's channel of the ""Minecraft Speedrunner VS 5 Hunters THE LAST MANHUNT."" video. We react to what happened during the video and talk about it. Original Video:...",1800000,2022-02-27
"McMaster says Putin ""got a lot more than he bargained for"" with Ukraine invasion",https://www.youtube.com/watch?v=e9BIS442PM8,,Face the Nation,"H.R. McMaster, the former national security adviser and retired lieutenant general, says he thinks Putin ""is very vulnerable."" ""Face the Nation"" is America's premier Sunday morning public...",845000,2022-02-27
Polo G - Don't Play (Official Video) ft. Lil Baby,https://www.youtube.com/watch?v=n7CqZHpEcmw,,Polo G,Official video for ”Don’t Play” by Polo G (feat. Lil Baby) Listen & Download ‘Hall Of Fame 2.0’ out now: https://polog.lnk.to/HOFDeluxe Amazon Music - https://polog.lnk.to/HOFDeluxe/a...,1700000,2022-02-25
"Tyga, Doja Cat - Freaky Deaky (Official Video)",https://www.youtube.com/watch?v=5ZHXYnGVlcg,,Tyga,"Listen to the single “Freaky Deaky"". Out Now! Stream: https://music.empi.re/freakydeaky #Tyga #DojaCat #FreakyDeaky Official Video by Tyga & Doja Cat - Freaky Deaky © 2022 Kemosabe...",6700000,2022-02-25
A MESSAGE TO DWAYNE THE ROCK JOHNSON,https://www.youtube.com/watch?v=9a_G5F4iA7M,,Isaiah Photo,FOLLOW ME! Twitter - https://twitter.com/isaiahphoto Instagram - https://www.instagram.com/isaiahphoto TikTok - https://www.tiktok.com/@isaiahphoto Facebook - https://www.facebook.com/theisaiahphoto,4300000,2022-02-26
Jack Harlow - Nail Tech [Official Video],https://www.youtube.com/watch?v=e2AeKIzfQus,,Jack Harlow,"Jack Harlow - Nail Tech Stream/download: https://JackHarlow.lnk.to/NailTech Directors: Jack Harlow, Frank Borin, Ace Pro Executive Producer: Ivanna Borin Producer: Collin Druz Producer Supervisor:...",12000000,2022-02-18
Pokémon Scarlet and Pokémon Violet | Announcement Trailer,https://www.youtube.com/watch?v=MAmueMsFR1o,,The Official Pokémon YouTube channel,"Welcome to the open world of Pokémon. Embark on an open-world adventure in Pokémon Scarlet and Pokémon Violet, arriving on Nintendo Switch in late 2022.",1900000,2022-02-27
NoCap - I'll Be Here (Official Video),https://www.youtube.com/watch?v=BcAj9PHrqaE,,NoCap,NoCap - The Hood Dictionary - Stream/Download: https://NoCap.lnk.to/TheHoodDictionaryID The Backend Child - Stream/Download: https://NoCap.lnk.to/TheBackendChildID Subscribe for more official...,1500000,2022-02-24
Quando Rondo - Six-0 Business (Official Video),https://www.youtube.com/watch?v=WLDxZxH09-Q,,Quando Rondo,Quando Rondo - Six-0 Business Stream/Download:https://quandorondo.lnk.to/Six-0business Subscribe for more official content from Quando Rondo: https://1633.lnk.to/QuandoRondoSubscribe ...,1600000,2022-02-24
euphoria | season 2 episode 8 promo | hbo,https://www.youtube.com/watch?v=m182yfkVqP8,,euphoria,"on the season finale of #EUPHORIA Zendaya leads an ensemble cast that also includes Maude Apatow, Angus Cloud, Eric Dane, Alexa Demie, Jacob Elordi, Barbie Ferreira, Nika King, Storm Reid,...",6700000,2022-02-21
I Spent 100 Days in the Metaverse,https://www.youtube.com/watch?v=mufeRQYgqZc,,Ryan Trahan,watch out zuckerberg,12000000,2022-02-19
Throwing school busses with my new excavator,https://www.youtube.com/watch?v=Jbd05RNLqs8,,WhistlinDiesel,"Just 30 minutes of wrecking sh*****. This is what $400,000 of excavator looks like. I bought the biggest currently in stock at caterpillar (not big enough but it’ll do for now until the bigger...",1500000,2022-02-26
AMP ALL STAR WEEKEND,https://www.youtube.com/watch?v=qRTAKehBi34,,AMP,Thank you to OTF for coming out go check them out!: https://www.youtube.com/c/OTFGamingYT Join this channel to get access to perks: https://www.youtube.com/channel/UCJbYdyufHR-cxOuY96KIoqA/join...,2500000,2022-02-22
"Game Theory: FNAF, The Clue That ALMOST Solves Everything! (FNAF Security Breach)",https://www.youtube.com/watch?v=wBEAjjioZFI,,The Game Theorists,"Get yourself The Quest Jacket and SOLVE our mystery! ► https://theorywear.com/products/quest-jacket Theorists, I am finally ready to talk about it. You know what I mean. The secret CDs from...",6300000,2022-02-20
Poppy Playtime: Chapter 2 - Official Game Trailer,https://www.youtube.com/watch?v=XVENjm3Bjk0,,MOB Games,"PLAY CHAPTER 1: https://store.steampowered.com/app/1721470/Poppy_Playtime/ JOIN THE POPPY PLAYTIME DISCORD: https://discord.gg/bmaSzBfFrt You must stay alive in this unique, horror-puzzle...",15000000,2022-02-23
DaBaby & NBA YoungBoy - NEIGHBORHOOD SUPERSTAR [Official Audio],https://www.youtube.com/watch?v=6SESaYWEDoU,,DaBaby,DaBaby & YoungBoy Never Broke Again - NEIGHBORHOOD SUPERSTAR Listen: https://DaBaby.lnk.to/NEIGHBORHOODSUPERSTAR Connect: https://instagram.com/dababy https://twitter.com/dababydababy https://w...,861000,2022-02-26
Christian Nodal - Ya No Somos Ni Seremos (Video Oficial),https://www.youtube.com/watch?v=jGhL1v594cU,,Christian Nodal,Encuentra Ya No Somos Ni Seremos de Christian Nodal en tu plataforma favorita › https://Nodal1.lnk.to/YaNoSomosNiSeremos Encuéntrame en › Facebook: https://www.facebook.com/christiannodalofic...,24000000,2022-02-18
Watch How Russia’s Military Attack on Ukraine Unfolded | WSJ,https://www.youtube.com/watch?v=Gygb1sEah1U,,Wall Street Journal,"Video shows Russian tanks crossing the border, airstrikes hitting several cities and long lines of cars fleeing after Putin announced a military operation in Ukraine. The U.S. and its allies...",2900000,2022-02-24
My Dog Beau,https://www.youtube.com/watch?v=aA6rHFxmUaE,,Haminations,I Love Him BEAU PLUSH (Charity): https://crowdmade.com/collections/haminations/products/haminations-beau-plush-presale Humane Society: https://www.humanesociety.org/all-our-fights/ending-animal-fi...,1100000,2022-02-27
Napoli vs. Barcelona: Extended Highlights | UEL | Play-offs - Leg 2 | CBS Sports Golazo - Europe,https://www.youtube.com/watch?v=niErrCCv0Gs,,CBS Sports Golazo - Europe,Barcelona and Napoli face off in Italy after a tightly contested match between two Europa League title favorites leaves them all square at one. Stream UEFA Matches on Paramount+: https://www.para...,781000,2022-02-25
"POV: When you turn 18, you get contacts that give you superpowers",https://www.youtube.com/watch?v=7GXYzp8qJvo,,Ian Boggs,Follow me on IG for your daily dose of Ian! 🙌🏼 IG: https://www.instagram.com/ianboggz/ // Voiceover: @Chad is bored. Hey Ian Nation! What do you think is gonna happen next? 👀 Subscribe...,1900000,2022-02-27
TEAM DURANT vs TEAM LEBRON | FULL GAME HIGHLIGHTS | 2022 NBA ALL-STAR,https://www.youtube.com/watch?v=2Q-qkpuqY-4,,NBA,"LeBron James knocked down a fadeaway jumper to lift #TeamLeBron over #TeamDurant, 163-160. Stephen Curry recorded a game-high 50 PTS for Team LeBron, including an NBA All-Star record 16 3PM,...",4700000,2022-02-21
Dave Grohl Makes a New Friend While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=nutcZOBGhjs,,First We Feast,Dave Grohl is one of the most requested Hot Ones guests of all time. He's also a 16-time Grammy Award–winning artist whose storied career in music has been immortalized in the Rock N' Roll...,3000000,2022-02-25
Ukrainian soldiers on front line come under attack | Kharkiv dispatch,https://www.youtube.com/watch?v=qDIQf10kHzY,,The Telegraph,Footage filmed by The Telegraph shows the reality for Ukrainian soldiers on the front line as they come under attack in Kharkiv. “This is a spot where the Russians tried to break through...,3400000,2022-02-26
Ukraine war: Kyiv braces for battle as Russian tanks enter city,https://www.youtube.com/watch?v=bzSAjQZXDOE,,The Telegraph,Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH Ukrainian soldiers have started taking up positions around Kyiv after Russian troops were seen in northern suburbs and gunfire...,9100000,2022-02-26
"Fighting begins on the streets of Kyiv, Ukraine President urges people to fight | 9 News Australia",https://www.youtube.com/watch?v=4uWL5KADkzg,,9 News Australia,"Explosions, blasts and air raid sirens are reverberating through Ukraine’s capital city, Kyiv, as the battle for its control is underway. Government officials have confirmed active fighting...",1700000,2022-02-26
So I Coded Snake In Minecraft...,https://www.youtube.com/watch?v=kgtkkkIA3kY,,Fundy,Get Honey for FREE today ▸ https://joinhoney.com/fundy Honey finds coupons with one click. Thanks to Honey for sponsoring! I coded the original Snake Game in Minecraft and it was really funny...,1100000,2022-02-26
"When ""Asian"" is a Difficulty Mode: EMOTIONAL DAMAGE",https://www.youtube.com/watch?v=PWZnenTQDB4,,Steven He,#EMOTIONALDAMAGE #Asian #Comedy No Stevens were harmed in this video. You guys literally made Emotional Damage a part of internet history. I'm just honored to be a part of it~ Everytime I...,5900000,2022-02-24
Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Trailer,https://www.youtube.com/watch?v=aWzlQ2N6qqg,,Marvel Entertainment,Enter a new dimension of Strange. Watch the official trailer for Marvel Studios' Doctor Strange in the Multiverse of Madness. Only in theaters May 6. In Marvel Studios’ “Doctor Strange...,42000000,2022-02-14
Katana vs Longsword: Who's Faster?!,https://www.youtube.com/watch?v=Y_fYJWDmQK4,,Sellsword Arts,,4099999,2022-02-20
Black Mamba Fang!! 🐍 | Herpin Hippie #shorts,https://www.youtube.com/watch?v=r1THNkGimjU,,Herpin Hippie,*Do not attempt I am a professional working for a licensed reptile sanctuary* I am officially doubling down on YouTube Shorts! Like and Subscribe for daily reptile videos from the venom room...,910000,2022-02-27
Tense exchanges between Ukraine and Russia at UN security council,https://www.youtube.com/watch?v=DXQgjp0pZcI,,Guardian News,"In a tense exchange with the Russian ambassador, Ukraine's representative to the United Nations has told the security council that Russian president Vladimir Putin has 'declared war on Ukraine'....",6500000,2022-02-24
